match,league,date,market,selection,odd,bookmaker,value
Getafe vs Athletic Club,La Liga,2026-04-05 12:00:00,OU25,OVER,3.22,Pinnacle,100.0
Oviedo vs Sevilla,La Liga,2026-04-05 16:30:00,OU25,OVER,2.49,1xBet,100.0
Valencia vs Celta Vigo,La Liga,2026-04-05 14:15:00,OU25,OVER,2.27,1xBet,95.2
Las Palmas vs Huesca,Segunda División,2026-04-05 16:30:00,1X2,AWAY,7.5,Bet365,80.0
Eibar vs AD Ceuta FC,Segunda División,2026-04-05 12:00:00,OU25,OVER,2.18,Pinnacle,78.8
Alaves vs Osasuna,La Liga,2026-04-05 19:00:00,OU25,OVER,2.43,Unibet,72.5
Castellón vs Granada CF,Segunda División,2026-04-06 17:00:00,1X2,AWAY,5.19,1xBet,71.3
Las Palmas vs Huesca,Segunda División,2026-04-05 16:30:00,OU25,OVER,2.26,SBO,69.5
Atletico Madrid vs Barcelona,La Liga,2026-04-04 19:00:00,BTTS,NO,3.2,Marathonbet,66.4
Zaragoza vs Mirandes,Segunda División,2026-04-05 19:00:00,OU25,OVER,2.17,Pinnacle,64.9
